,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
272,mount gambier,90,AU,1569007183,100,51.8,-37.83,140.78,6.93
273,chodavaram,33,IN,1569007184,93,74.22,17.44,81.78,4.18
274,matara,32,BI,1569007184,70,56.58,-3.48,29.48,1.83
275,ancud,75,CL,1569007184,70,48.2,-41.87,-73.83,13.87
276,te anau,6,NZ,1569007184,83,41.1,-45.41,167.72,5.23
277,port moresby,75,PG,1569007185,88,77.0,-9.47,147.16,6.93
278,shaowu,0,CN,1569007185,82,60.0,27.34,117.49,2.33
279,mayachnyy,67,RU,1569007185,77,45.96,52.68,55.69,7.74
280,saint-joseph,0,FR,1569007185,68,75.2,43.56,6.97,3.36
281,inhambane,20,MZ,1569007186,83,71.6,-23.87,35.38,3.36
282,yulara,0,AU,1569007186,48,42.8,-25.24,130.99,4.7
283,kidal,30,ML,1569007186,21,97.08,18.44,1.41,10.67
284,tual,98,ID,1569007186,84,76.56,-5.67,132.75,12.17
285,formosa,0,BR,1569007187,11,98.7,-15.55,-47.33,4.0
286,coahuayana,93,MX,1569007187,68,83.58,18.62,-100.35,2.21
287,chara,75,GR,1569007187,82,66.2,39.42,22.43,4.7
288,nuuk,90,GL,1569007188,86,39.2,64.17,-51.74,27.51
289,aklavik,90,CA,1569007188,93,44.6,68.22,-135.01,10.29
290,campo grande,40,BR,1569007192,36,95.0,-20.46,-54.62,17.22
291,rawson,33,AR,1569007193,23,58.38,-43.3,-65.11,38.43
292,codrington,90,AU,1569007193,93,59.0,-28.95,153.24,1.63
293,jan kempdorp,36,ZA,1569007194,12,73.5,-27.92,24.84,12.21
294,puerto baquerizo moreno,40,EC,1569007194,73,73.4,-0.9,-89.6,16.11
295,bow island,75,CA,1569007194,63,64.0,49.87,-111.38,4.7
296,saint-pierre,0,FR,1569007195,44,64.4,48.95,4.24,12.75
297,mitsamiouli,1,KM,1569007195,79,78.0,-11.38,43.28,13.76
298,cayenne,75,GF,1569007195,70,87.8,4.94,-52.33,12.75
299,carman,75,CA,1569007195,93,68.0,49.51,-98.0,16.11
300,tigil,0,RU,1569007196,84,36.24,57.8,158.67,4.83
301,ladnun,10,IN,1569007196,51,85.56,27.64,74.39,7.36
302,halden,0,SE,1569007196,51,59.0,59.12,11.39,2.24
303,monrovia,75,LR,1569007196,94,78.8,6.33,-10.8,9.17
304,skjervoy,75,NO,1569007197,93,41.0,70.03,20.97,9.17
305,astana,0,KZ,1569007197,61,46.4,51.13,71.43,2.24
306,caravelas,31,BR,1569007197,68,80.7,-17.73,-39.27,18.52
307,chabahar,0,IR,1569007198,78,78.0,25.29,60.65,1.57
308,shanhetun,36,CN,1569007198,97,48.66,44.7,127.2,7.7
309,conde,68,BR,1569007198,62,81.42,-11.81,-37.61,8.97
310,novyy urengoy,100,RU,1569007198,89,42.72,66.08,76.63,20.96
311,peleduy,100,RU,1569007199,99,46.14,59.63,112.75,5.53
312,sartell,1,US,1569007199,69,84.2,45.62,-94.21,9.17
313,pisco,0,PE,1569007199,30,71.6,-13.71,-76.2,10.29
314,mandali,0,IQ,1569007199,16,90.6,33.75,45.55,6.08
315,constitucion,75,MX,1569007200,49,75.99,23.99,-104.67,5.82
316,sault sainte marie,75,CA,1569007200,69,75.2,46.49,-84.36,4.7
317,hervey bay,90,AU,1569007200,93,61.0,-25.3,152.85,5.82
318,morondava,0,MG,1569007200,78,76.92,-20.3,44.28,17.27
319,lamar,1,US,1569007201,16,93.2,38.09,-102.62,13.87
320,taltal,0,CL,1569007201,63,59.46,-25.41,-70.49,8.57
321,campina verde,17,BR,1569007201,15,100.32,-19.54,-49.49,11.54
322,ahuimanu,75,US,1569007202,73,82.4,21.44,-157.84,4.7
323,pokaran,0,IN,1569007202,27,94.92,26.93,71.92,8.7
324,dukat,23,AL,1569007202,66,68.0,40.25,19.57,8.99
325,pacifica,20,US,1569007203,50,78.01,37.61,-122.49,3.36
326,tazovskiy,100,RU,1569006938,94,39.84,67.47,78.7,20.89
327,anloga,40,GH,1569007026,88,78.8,5.79,0.9,8.05
328,hammerfest,75,NO,1569007203,86,41.0,70.66,23.68,16.11
329,krasnokamsk,0,RU,1569007204,86,41.0,58.08,55.76,4.47
330,hambantota,40,LK,1569007204,100,75.2,6.12,81.12,4.7
331,billings,90,US,1569007204,76,59.0,45.79,-108.5,5.82
332,tay ninh,100,VN,1569007205,95,75.3,11.3,106.1,4.18
333,puerto leguizamo,100,CO,1569007207,63,87.9,-0.19,-74.78,2.84
334,walvis bay,15,NA,1569007208,87,59.0,-22.95,14.51,4.7
335,constantine,40,DZ,1569007053,78,73.4,36.36,6.61,2.24
336,souillac,0,FR,1569007210,44,77.0,45.6,-0.6,4.7
337,lazarev,64,RU,1569007211,74,51.18,52.23,141.51,8.21
338,parabel,85,RU,1569007211,81,46.68,58.71,81.5,15.55
339,berberati,61,CF,1569007211,87,72.06,4.26,15.79,1.86
340,east wenatchee bench,1,US,1569007212,37,73.4,47.43,-120.28,8.05
341,smithers,75,CA,1569007212,76,53.6,54.78,-127.17,3.36
342,olinda,0,AU,1569007213,48,72.0,-37.84,145.39,25.28
343,babynino,0,RU,1569007213,100,41.0,54.39,35.75,6.35
344,xining,0,CN,1569007213,66,39.3,36.62,101.77,3.78
345,oistins,40,BB,1569007214,70,87.8,13.07,-59.53,13.87
346,jardim,44,BR,1569007214,46,87.18,-21.48,-56.15,10.63
347,naze,40,NG,1569007214,78,82.4,5.43,7.07,11.41
348,whitehorse,75,CA,1569007158,76,50.0,60.72,-135.06,18.34
349,saint-prosper,59,CA,1569007215,55,72.0,46.21,-70.48,8.01
350,usta muhammad,0,PK,1569007215,19,95.1,28.18,68.05,8.99
351,dawlatabad,0,AF,1569007215,19,73.86,36.41,64.91,6.42
352,fairbanks,90,US,1569007058,87,46.99,64.84,-147.72,4.7
353,waddan,0,LY,1569007216,23,86.82,29.16,16.14,9.46
354,the valley,40,AI,1569007216,78,91.0,18.22,-63.06,3.36
355,lavrentiya,96,RU,1569007216,97,32.64,65.58,-170.99,4.07
356,bambous virieux,40,MU,1569007217,68,69.8,-20.34,57.76,8.05
357,port hardy,40,CA,1569007217,93,57.2,50.7,-127.42,6.93
358,arlit,22,NE,1569007217,8,98.88,18.74,7.39,0.76
359,miaoli,40,TW,1569007217,68,77.0,24.56,120.82,16.11
360,makat,100,KZ,1569007218,29,63.6,47.65,53.35,6.08
361,medina,0,SA,1569007218,6,102.2,24.47,39.61,4.7
362,tumen,2,CN,1569007218,96,47.04,42.97,129.84,2.55
363,vallenar,0,CL,1569007218,33,69.0,-28.58,-70.76,11.18
364,adela,0,AR,1569007219,37,62.88,-35.68,-57.95,15.19
365,namibe,81,AO,1569007171,85,66.12,-15.19,12.15,13.27
366,praia,40,BR,1569007219,24,95.0,-20.25,-43.81,5.82
367,necochea,0,AR,1569007219,58,55.0,-38.55,-58.74,10.0
368,naustdal,75,NO,1569007220,93,53.6,61.51,5.72,1.12
369,deputatskiy,83,RU,1569007220,95,22.2,69.3,139.9,3.06
370,launceston,100,AU,1569007221,93,52.0,-41.43,147.14,8.05
371,west bay,90,CA,1569007222,93,64.4,49.34,-123.21,5.82
372,kalmunai,100,LK,1569007225,84,77.82,7.42,81.82,2.39
373,beidao,82,CN,1569007226,57,51.36,34.57,105.89,2.48
374,luanda,40,AO,1569007227,88,73.4,-8.83,13.24,6.93
375,tromso,75,NO,1569007054,86,41.0,69.65,18.96,9.17
376,iwanai,33,JP,1569007228,85,46.32,42.97,140.51,4.79
377,loviisa,0,FI,1569007228,70,45.0,60.46,26.23,3.36
378,norman wells,75,CA,1569007228,71,51.8,65.28,-126.83,9.17
379,carupano,57,VE,1569007228,55,90.6,10.67,-63.26,5.7
380,mezhdurechensk,100,RU,1569007229,83,51.36,53.69,88.07,3.11
381,santa rosa,0,AR,1569007066,16,65.94,-36.62,-64.29,16.37
382,mulchen,20,CL,1569007229,44,59.0,-37.72,-72.23,13.87
383,tarragona,75,ES,1569007230,83,73.0,41.12,1.25,4.7
384,freeport,75,BS,1569007161,62,84.2,26.54,-78.7,19.46
385,warri,100,NG,1569007230,83,78.9,5.52,5.75,5.01
386,ola,78,RU,1569007230,79,44.52,59.58,151.3,5.93
387,cockburn town,75,TC,1569007230,74,87.8,21.46,-71.14,13.87
388,la palma,100,CO,1569007231,53,84.12,5.36,-74.39,3.87
389,talnakh,75,RU,1569007231,93,46.4,69.49,88.39,11.18
390,burnie,100,AU,1569007231,95,53.34,-41.05,145.91,8.1
391,olavarria,0,AR,1569007232,26,62.01,-36.89,-60.32,7.0
392,calama,0,CL,1569007232,6,73.99,-22.46,-68.93,18.34
393,wenchi,99,GH,1569007232,88,76.74,7.74,-2.1,1.07
394,bloomington,1,US,1569007233,55,91.0,40.47,-88.99,8.05
395,kirakira,100,SB,1569007233,94,74.22,-10.46,161.92,2.51
396,margate,95,AU,1569007233,93,54.0,-43.03,147.26,4.7
397,boguchany,84,RU,1569007233,75,60.54,58.38,97.46,8.25
398,atar,11,MR,1569007234,16,105.36,20.52,-13.05,4.14
399,bendigo,100,AU,1569007234,49,61.0,-36.76,144.28,16.6
400,verkhnevilyuysk,69,RU,1569007234,96,29.76,63.45,120.31,4.09
401,gambela,39,ET,1569007234,92,67.74,8.25,34.59,4.7
402,cherskiy,100,RU,1569007235,77,31.38,68.75,161.3,8.9
403,cape canaveral,1,US,1569007230,58,86.0,28.41,-80.6,16.11
404,anta,40,PE,1569007235,26,71.6,-13.47,-72.15,14.99
405,karratha,0,AU,1569007235,22,60.9,-20.74,116.85,11.07
406,jacksonville,40,US,1569007138,48,89.01,30.33,-81.66,18.34
407,touros,75,BR,1569007236,58,82.4,-5.2,-35.46,16.11
408,tolaga bay,67,NZ,1569007236,99,43.08,-38.37,178.3,1.77
409,ilulissat,75,GL,1569007047,41,42.8,69.22,-51.1,6.93
410,malpe,40,IN,1569007237,88,78.8,13.35,74.72,5.66
411,mungwi,17,ZM,1569007237,28,69.18,-10.17,31.37,5.44
412,port arthur,90,US,1569007238,83,86.0,29.9,-93.93,8.05
413,sarkand,0,KZ,1569007239,24,71.52,45.41,79.91,6.55
414,trincomalee,99,LK,1569007240,78,79.08,8.58,81.23,2.98
415,les cayes,100,HT,1569007241,77,84.12,18.19,-73.75,16.17
416,sobolevo,56,RU,1569007241,90,38.22,54.43,31.9,8.59
417,richards bay,0,ZA,1569007231,82,72.06,-28.77,32.06,25.61
418,mehamn,75,NO,1569007242,83,39.2,71.03,27.85,11.41
419,quatre cocos,40,MU,1569007243,68,69.8,-20.21,57.76,8.05
420,hamilton,75,CA,1569007142,50,81.0,43.26,-79.87,9.17
421,owando,35,CG,1569007243,91,74.58,-0.49,15.91,2.64
422,kulhudhuffushi,96,MV,1569007243,76,83.4,6.62,73.07,10.78
423,dolores,0,UY,1569007244,27,64.99,-33.53,-58.22,8.01
424,okha,58,RU,1569007244,73,49.56,53.59,142.95,5.73
425,port macquarie,100,AU,1569007244,87,61.0,-31.43,152.91,9.17
426,komsomolskiy,37,RU,1569007245,90,32.28,67.55,63.78,12.53
427,copiapo,0,CL,1569007245,59,62.6,-27.37,-70.33,12.75
428,tecoanapa,40,MX,1569007245,70,87.8,16.99,-99.26,4.7
429,sovetskiy,100,RU,1569007246,74,42.54,56.76,48.47,1.79
430,obo,98,CF,1569007246,93,72.06,5.39,26.49,1.9
431,luderitz,4,NA,1569007246,82,62.6,-26.65,15.16,14.99
432,mizan teferi,25,ET,1569007246,96,62.16,6.99,35.58,4.29
433,provideniya,27,RU,1569007246,79,32.1,64.42,-173.23,2.62
434,mount darwin,0,ZW,1569007247,29,63.42,-16.77,31.58,4.34
435,plouzane,0,FR,1569007054,55,68.0,48.38,-4.62,9.17
436,kavieng,65,PG,1569007247,70,83.58,-2.57,150.8,7.83
437,rio gallegos,40,AR,1569007248,36,48.2,-51.62,-69.22,46.08
438,altamont,75,CA,1569007248,93,68.0,49.4,-98.5,16.11
439,shingu,100,JP,1569007248,92,59.28,33.72,135.99,3.56
440,mangaluru,40,IN,1569007248,88,78.8,12.87,74.84,5.08
441,zyryanka,28,RU,1569007249,81,27.42,65.73,150.89,3.47
442,wright,20,US,1569007249,63,64.0,43.75,-105.48,9.17
443,bilma,0,NE,1569007249,12,94.92,18.69,12.92,2.95
444,manavalakurichi,75,IN,1569007249,88,80.6,8.13,77.3,4.7
445,linares,0,CL,1569007250,59,57.84,-35.85,-71.6,14.25
446,kimbe,91,PG,1569007250,91,73.14,-5.56,150.15,3.02
447,viedma,0,AR,1569007250,26,60.18,-40.81,-62.99,17.2
448,gladstone,75,AU,1569007251,82,64.99,-23.84,151.26,3.36
449,marsabit,3,KE,1569007251,31,84.66,2.34,37.99,15.48
450,kautokeino,77,NO,1569007251,94,29.76,69.01,23.04,2.39
451,yumen,14,CN,1569007251,21,63.78,40.29,97.04,7.92
452,medicine hat,75,CA,1569007252,63,64.0,50.04,-110.68,4.7
453,yaan,34,NG,1569007252,88,75.48,7.38,8.57,2.77
454,port hedland,0,AU,1569007253,17,62.6,-20.31,118.58,9.17
455,porirua,17,NZ,1569007254,93,44.6,-41.14,174.84,4.7
456,ende,71,ID,1569007255,69,76.74,-8.84,121.65,3.58
457,potchefstroom,0,ZA,1569007256,15,69.9,-26.71,27.1,8.86
458,shimoda,100,JP,1569007256,82,71.01,34.7,138.93,9.53
459,kattivakkam,40,IN,1569007256,88,82.4,13.22,80.32,2.24
460,kandrian,100,PG,1569007257,95,73.68,-6.21,149.55,4.43
461,titlagarh,0,IN,1569007257,86,77.1,20.29,83.16,4.23
462,atambua,60,ID,1569007258,76,74.94,-9.11,124.89,8.57
463,nova olinda do norte,0,BR,1569007258,23,104.64,-3.89,-59.1,5.68
464,saldanha,73,PT,1569007258,39,75.12,41.42,-6.55,9.6
465,safranbolu,100,TR,1569006974,96,54.06,41.25,32.69,2.37
466,tessalit,0,ML,1569007137,7,98.16,20.2,1.01,2.55
467,taunggyi,84,MM,1569007259,93,66.3,20.78,97.03,1.88
468,mackenzie,1,CA,1569007259,58,57.2,55.34,-123.09,8.05
469,sao filipe,19,CV,1569007259,82,78.9,14.9,-24.5,15.66
470,buala,99,SB,1569007260,85,77.82,-8.15,159.59,13.47
471,tarbert,0,GB,1569007260,82,62.6,55.86,-5.42,16.11
472,kaka,0,TM,1569007260,25,74.76,37.35,59.62,5.28
473,vestmanna,40,FO,1569007260,93,51.8,62.16,-7.17,10.29
474,gulmarg,0,IN,1569007261,77,53.16,34.05,74.39,3.89
475,tynda,14,RU,1569007261,92,24.0,55.15,124.74,2.3
476,eyl,44,SO,1569007261,78,76.02,7.98,49.82,22.88
477,matamoros,20,US,1569007262,49,93.2,25.87,-97.51,19.46
478,arak,0,IR,1569007262,18,60.0,34.1,49.69,2.28
479,meadow lake,75,CA,1569007262,59,64.4,54.13,-108.44,13.87
480,kungurtug,0,RU,1569007263,64,44.16,50.6,97.53,4.36
481,radcliff,1,US,1569007031,43,89.6,37.84,-85.95,9.17
482,havelock,20,US,1569007263,39,82.0,34.88,-76.9,3.36
483,xichang,100,CN,1569007264,84,47.04,27.88,102.25,5.23
484,akureyri,75,IS,1569007264,81,53.6,65.68,-18.09,23.04
485,neiafu,20,TO,1569007264,88,66.2,-18.65,-173.98,15.19
486,sungaipenuh,41,ID,1569007265,97,71.52,-2.08,101.38,0.74
487,amahai,70,ID,1569007265,91,75.3,-3.31,129.0,6.87
488,vilyuysk,97,RU,1569007265,92,30.3,63.75,121.63,3.38
489,san jeronimo,90,PE,1569007265,81,51.8,-13.65,-73.37,4.7
490,port-cartier,75,CA,1569007266,57,75.2,50.03,-66.88,10.29
491,makakilo city,75,US,1569007266,78,82.4,21.35,-158.09,16.28
492,karoi,0,ZW,1569007266,27,64.86,-16.82,29.68,7.56
493,porto de moz,81,BR,1569007267,28,99.96,-1.75,-52.24,5.37
494,beloretsk,73,RU,1569007267,84,33.9,58.67,52.48,2.93
495,bulgan,20,MN,1569007267,71,47.94,48.81,103.53,2.68
496,colares,75,PT,1569007268,82,70.0,38.8,-9.45,9.17
497,doha,0,QA,1569007196,75,91.4,25.29,51.53,2.24
498,giddarbaha,31,IN,1569007270,59,79.26,30.21,74.66,6.11
499,vuktyl,98,RU,1569007272,86,34.08,63.86,57.31,8.12
500,mbaiki,87,CF,1569007273,85,74.4,3.87,17.99,0.72
501,araouane,60,ML,1569007264,11,103.56,18.9,-3.53,2.64
502,palmer,75,AU,1569007273,76,53.6,-34.85,139.16,12.75
503,porto novo,71,BR,1569007274,61,78.8,-23.68,-45.44,8.05
504,edd,50,ER,1569007274,58,88.26,13.93,41.69,3.04
505,verkhoyansk,98,RU,1569007274,83,38.94,67.55,133.39,3.09
506,bijar,0,IR,1569007274,33,59.82,35.87,47.6,5.61
507,vao,95,EE,1569007275,82,43.62,59.1,26.19,6.91
508,oranjemund,0,ZA,1569007275,91,57.66,-28.55,16.43,14.72
509,beziers,90,FR,1569007249,83,70.0,43.35,3.22,5.82
510,lubyany,20,RU,1569007275,87,44.6,56.04,51.4,15.66
511,neuquen,0,AR,1569007025,15,64.4,-38.95,-68.06,14.99
512,buraydah,0,SA,1569007276,21,89.6,26.33,43.97,7.09
513,galesong,20,ID,1569007276,54,78.8,-5.32,119.37,4.7
514,sesheke,27,NA,1569007276,9,73.14,-17.47,24.29,6.4
515,pouebo,50,NC,1569007276,92,60.9,-20.4,164.57,5.88
516,saint-francois,0,FR,1569007277,52,68.0,46.42,3.91,4.7
517,tuy hoa,100,VN,1569007081,96,72.96,13.08,109.3,1.52
518,pitimbu,90,BR,1569007277,100,73.4,-7.47,-34.81,16.11
519,saint peters,20,US,1569007278,46,90.0,35.62,-89.39,14.99
520,zelenoborsk,56,RU,1569007278,78,34.8,61.47,64.05,7.92
521,awbari,0,LY,1569007278,16,86.28,26.59,12.77,8.99
522,coshocton,1,US,1569007278,54,86.0,40.27,-81.86,4.7
523,jiayuguan,28,CN,1569007279,22,61.8,39.77,98.29,4.7
524,kosh-agach,32,RU,1569007279,61,43.98,49.99,88.66,1.28
525,chihuahua,75,MX,1569007280,42,84.2,28.66,-106.08,4.7
526,anadyr,0,RU,1569007280,92,30.0,64.73,177.51,6.71
527,fantino,40,DO,1569007280,70,89.6,19.12,-70.3,16.11
528,presidencia roque saenz pena,2,AR,1569007281,35,73.86,-26.79,-60.44,9.31
529,bereda,75,ES,1569007281,72,68.0,43.27,-7.54,2.24
530,milos,17,GR,1569007281,82,68.0,36.75,24.43,19.46
531,kifri,0,IQ,1569007281,18,84.84,34.69,44.96,4.14
532,kiili,75,EE,1569007282,93,46.0,59.31,24.84,2.24
533,fort-shevchenko,0,KZ,1569007282,54,69.72,44.51,50.26,28.16
534,sampit,6,ID,1569007282,98,72.06,-2.54,112.95,1.5
535,karakol,0,KG,1569007283,46,56.58,42.49,78.39,3.8
536,valdivia,75,CL,1569007283,71,51.8,-39.81,-73.25,10.29
537,hualmay,100,PE,1569007283,89,60.54,-11.1,-77.61,15.17
538,husavik,100,CA,1569007284,92,64.0,50.56,-96.99,10.0
539,yorosso,77,ML,1569007284,76,81.42,12.35,-4.78,4.65
540,markala,88,ML,1569007284,65,85.2,13.69,-6.07,9.95
541,singaraja,31,ID,1569007289,72,78.18,-8.11,115.08,7.47
542,puerto madryn,17,AR,1569007297,23,60.54,-42.77,-65.04,30.87
543,sitrah,0,BH,1569007303,63,91.4,26.15,50.62,5.82
544,srednekolymsk,82,RU,1569007315,82,26.34,67.46,153.71,8.61
545,laishevo,0,RU,1569007318,93,42.8,55.4,49.55,4.47
